1,<18,M,WHITE
2,<18,F,WHITE
3,<18,U,WHITE
4,<18,M,BLACK
5,<18,F,BLACK
6,<18,U,BLACK
7,<18,M,WHITE HISPANIC
8,<18,F,WHITE HISPANIC
9,<18,U,WHITE HISPANIC
10,<18,M,BLACK HISPANIC
11,<18,F,BLACK HISPANIC
12,<18,U,BLACK HISPANIC
13,<18,M,ASIAN / PACIFIC ISLANDER
14,<18,F,ASIAN / PACIFIC ISLANDER
15,<18,U,ASIAN / PACIFIC ISLANDER
16,<18,M,UNKNOWN
17,<18,F,UNKNOWN
18,<18,U,UNKNOWN
19,<18,M,AMERICAN INDIAN/ALASKAN NATIVE
20,<18,F,AMERICAN INDIAN/ALASKAN NATIVE
21,<18,U,AMERICAN INDIAN/ALASKAN NATIVE
22,18-24,M,WHITE
23,18-24,F,WHITE
24,18-24,U,WHITE
25,18-24,M,BLACK
26,18-24,F,BLACK
27,18-24,U,BLACK
28,18-24,M,WHITE HISPANIC
29,18-24,F,WHITE HISPANIC
30,18-24,U,WHITE HISPANIC
31,18-24,M,BLACK HISPANIC
32,18-24,F,BLACK HISPANIC
33,18-24,U,BLACK HISPANIC
34,18-24,M,ASIAN / PACIFIC ISLANDER
35,18-24,F,ASIAN / PACIFIC ISLANDER
36,18-24,U,ASIAN / PACIFIC ISLANDER
37,18-24,M,UNKNOWN
38,18-24,F,UNKNOWN
39,18-24,U,UNKNOWN
40,18-24,M,AMERICAN INDIAN/ALASKAN NATIVE
41,18-24,F,AMERICAN INDIAN/ALASKAN NATIVE
42,18-24,U,AMERICAN INDIAN/ALASKAN NATIVE
43,25-44,M,WHITE
44,25-44,F,WHITE
45,25-44,U,WHITE
46,25-44,M,BLACK
47,25-44,F,BLACK
48,25-44,U,BLACK
49,25-44,M,WHITE HISPANIC
50,25-44,F,WHITE HISPANIC
51,25-44,U,WHITE HISPANIC
52,25-44,M,BLACK HISPANIC
53,25-44,F,BLACK HISPANIC
54,25-44,U,BLACK HISPANIC
55,25-44,M,ASIAN / PACIFIC ISLANDER
56,25-44,F,ASIAN / PACIFIC ISLANDER
57,25-44,U,ASIAN / PACIFIC ISLANDER
58,25-44,M,UNKNOWN
59,25-44,F,UNKNOWN
60,25-44,U,UNKNOWN
61,25-44,M,AMERICAN INDIAN/ALASKAN NATIVE
62,25-44,F,AMERICAN INDIAN/ALASKAN NATIVE
63,25-44,U,AMERICAN INDIAN/ALASKAN NATIVE
64,45-64,M,WHITE
65,45-64,F,WHITE
66,45-64,U,WHITE
67,45-64,M,BLACK
68,45-64,F,BLACK
69,45-64,U,BLACK
70,45-64,M,WHITE HISPANIC
71,45-64,F,WHITE HISPANIC
72,45-64,U,WHITE HISPANIC
73,45-64,M,BLACK HISPANIC
74,45-64,F,BLACK HISPANIC
75,45-64,U,BLACK HISPANIC
76,45-64,M,ASIAN / PACIFIC ISLANDER
77,45-64,F,ASIAN / PACIFIC ISLANDER
78,45-64,U,ASIAN / PACIFIC ISLANDER
79,45-64,M,UNKNOWN
80,45-64,F,UNKNOWN
81,45-64,U,UNKNOWN
82,45-64,M,AMERICAN INDIAN/ALASKAN NATIVE
83,45-64,F,AMERICAN INDIAN/ALASKAN NATIVE
84,45-64,U,AMERICAN INDIAN/ALASKAN NATIVE
85,65+,M,WHITE
86,65+,F,WHITE
87,65+,U,WHITE
88,65+,M,BLACK
89,65+,F,BLACK
90,65+,U,BLACK
91,65+,M,WHITE HISPANIC
92,65+,F,WHITE HISPANIC
93,65+,U,WHITE HISPANIC
94,65+,M,BLACK HISPANIC
95,65+,F,BLACK HISPANIC
96,65+,U,BLACK HISPANIC
97,65+,M,ASIAN / PACIFIC ISLANDER
98,65+,F,ASIAN / PACIFIC ISLANDER
99,65+,U,ASIAN / PACIFIC ISLANDER
100,65+,M,UNKNOWN
101,65+,F,UNKNOWN
102,65+,U,UNKNOWN
103,65+,M,AMERICAN INDIAN/ALASKAN NATIVE
104,65+,F,AMERICAN INDIAN/ALASKAN NATIVE
105,65+,U,AMERICAN INDIAN/ALASKAN NATIVE
